ID,種別,区,カテゴリ,対象月,名称,開催期間,文化パスポート,写真,開催場所名,住所,詳細URL,内容
452,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,青山朝ごはん食堂,北九州市八幡西区萩原2-3-4,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
453,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,Pinky Cafe,北九州市八幡西区青山2-1-3,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
454,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,子ども食堂　Ｃｈｉｌｌｏｕｔ,北九州市八幡西区東鳴水一丁目４,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
455,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,くじら食堂,北九州市八幡西区星ヶ丘二丁目7-1,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
456,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,くいしん坊キッチン,北九州市八幡西区千代ケ崎三丁目1-29-T5,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
457,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,メイクスムーン食堂,"北九州市八幡西区浅川学園台３-18-10
学園台ビル１０１号",https://www.city.kitakyushu.lg.jp/contents/11700201.html,
458,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,"こども食堂えがお
(※休止中）",北九州市八幡西区浅川1-25-5,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
459,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,みんなでキッチン　はぐはぐ,北九州市八幡西区千代ケ崎1-15-20,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
460,常設,八幡西区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,八児レストラン,北九州市八幡西区町上津役一丁目17-1,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
461,常設,戸畑区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,あいゆう食堂,北九州市八幡西区上の原４－４－２０,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
462,常設,戸畑区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,"飛幡八幡宮
東大山笠 子ども食堂",北九州市戸畑区浅生2-2-2　,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
463,常設,戸畑区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,ウェルカム食堂,北九州市戸畑区汐井町1-6　,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
464,常設,戸畑区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,"子ども食堂
トバタテラス",北九州市戸畑区中本町３－１５,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
465,常設,戸畑区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,元気なおかわり君,北九州市戸畑区牧山一丁目１番１号,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
466,常設,戸畑区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,"コミュニティ食堂
またあむ",北九州市戸畑区天籟寺一丁目5-20,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
467,常設,戸畑区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,MIKAN house,北九州市戸畑区天籟寺一丁目6-30,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
468,常設,戸畑区,ひんやり,常設,ひんやりスポット（こども食堂）,,,,いっしょに,北九州市戸畑区観音寺町4-20,https://www.city.kitakyushu.lg.jp/contents/11700201.html,
